Name,Affiliation,Role,Twitter,Threads
Leo Boytsov,AWS Labs,Sr. Research Scientist,srchvrs,srchvrs
Logan Kilpatrick,OpenAI,Developer Relations,logankilpatrick,logankilpatrick
Lucas Pavanelli,aiXplain,AI Research Engineer,pavalucas,pavalucas
Luke Zettlemoyer,Meta,,LukeZettlemoyer,lukezettlemoyer
Madison May,Indico Data,teaching machines,pragmaticml,pragmaticml
Mahmoud (Mido) Assran,MetaAI,Research Scientist,mido_assran,midoassran
Margaret Mitchell,formerly Google,ML Scientist and AI Researcher,mmmitchell_ai,margaret_mitchell_ai
Maria Antoniak,Allen Institute for AI,Postdoc,maria_antoniak,maria.antoniak
Matt Rurck,FirstMark,VC,mattturck,mattturck
Matthew Lynley,Supervised.News,Writer,mattlynley,mattlynley
Matthew Muckley,Meta AI,Research Engineer,mattmucklm,mattmucklm
Max Woolf,Buzzfeed,Data Scientist,minimaxir,minimaxir
Maximilian Nickel,Meta,Research Scientist - AI ∩ Complex Systems ∩ Society,mnick,maxsnickel
Maya,Carnegie Mellon,MS Student,,mayaxgreco
Megan Risdal,"Kaggle, Google",Product work,MeganRisdal,meganrisdal
Megan Taylor,UWMadison Biophysics,ML & protein engineering,megthescientist,_megthescientist_
Michael Bronstein,Deepmind / Oxford,Professor,mmbronstein,mmbronstein
Michael Gold,School of Visual Arts / Shaderverse,Professor / Cofounder,michaelgold,michaelgold
Michael Kevin Spencer,AI Supremacy,Writer,,michaelkevinspencer
Michael Rivard,,Machine learning engineer,michael_rivard,microvardoc
Michael Voznesensky,Meta,Pytorch Eng,,vozfb
Miguel Angel Bautista,Apple,ML Research,itsbautistam,itsbautistam
Miguel Núñez,HHMI | Janelia,Neuro (Data) Scientist,NunezKant,nunezkant
Mimansa Jaiswal,UMichCSE,PhD candidate,MimansaJ,mimansajaiswal
Min-Hung (Steve) Chen,NVIDIA,Senior Research Scientist,CMHungSteven,cmhungsteve
Mina Lee,Microsoft Research,Postdoc,MinaLee__,minaminalee
Nadine Salem,Synergy Bioscience,AI Drug Discovery,technaelogy,technaelogy
Nalin Semwal,Georgia Tech,MS Student,lordspline,lordspline
Naomi Saphra,NYU,Postdoc NLP,nsaphra,nsaphra
Natalia Burina,Formerly Meta,AI Product,Nale,nataliaburina
Nathan Lambert,Hugging Face,Machine learning RESEARCHER & WRITER,natolambert,natolambert
Naveen Rao,MosaicML,CEO,NaveenGRao,naveen.g.rao
Noam Brown,OpenAI,AI researcher,polynoamial,polynoamial
Olesia,SoftServe,AI lead,olylesia,_olysavra_
OpenAI Dall-E,OpenAI,Dall-E,,openaidalle
Paige Bailey,DeepMind,Product Lead for Generative Models,DynamicWebPaige,dynamicwebpaige
Parmida Beigi,Amazon AI,"Senior Tech Lead Scientist on Gen AI/ML, NLP and speech recognition",ParmidaBeigi,bigdataqueen
Pawel Pachniewski,,,,pwlot
Pedro Morais,Agility Robotics,Engineer (simulation/RL/controls),,pedro.pnw
Phillip Rust,Meta,nlp/ml phd student,rust_phillip,phillip.rust
Piotr Skalski,Roboflow,Computer vision,skalskip92,skalskip92
Poe,Poe,Poe,poe_platform,poe_platform
Pranav Shyam,DeepMind,Researcher,recurseparadox,prnvshym
Prof. Anima Anandkumar,Caltech/Nvidia,Bren Professor @caltech / Sr Director of AI research @nvidia,AnimaAnandkumar,animaanandkumar
Rajesh Kandaswamy,Gartner,Industry Analyst,rajeshkan,ai_whisperati
Randy Ardywibowo,Apple,Machine Learning Engineer,RandyArdywibowo,randy.pth
Rho Lall,Assume Wisely,Analytics Engineer,rho_lall,rho_lall
Robert Lewis,,,roblew9013,roblew9009
Robert Scoble,Infinite Retina,"AI-First chief strategy office, writer",Scobleizer,scobleizer
Robin Jia,USC Thomas Lord Department of Computer Science,Assistant Professor,robinomial,robinstrumental
Rohit Girdhar,Facebook AI Research,Research Scientist,_rohitgirdhar_,rohytg
Ross Taylor,Meta,Research,rosstaylor90,rawsstaylor
Sakib Dadi,BessemerVP,Investor,SakibDadi,sakibdadi
Salem,,deep learning research,SalemGhouili,salemghouili
Saloni,Our World in Data,Research,salonium,saloni.n.d
Sam Altman,OpenAI,CEO/co-founder,sama,samaltman99
Santiago L Valdarrama,ml.school,head,svpino,svp1n0
Sarah Floris,,Senior Data and ML Platform Enginee,ADutchEngineer,adutchengineer
Sasha Rush,"Cornell University, Hugging Face","Associate Professor, Researcher",srush_nlp,srush_nlp
Scott Wen-tau Yih,Facebook AI Research (FAIR),Research Scientist,scottyih,curious_scott
Sebastian Gehrmann,Bloomberg,"Head of NLP, CTO office",sebgehr,sebastiangehrmann
Sebastian Raschka,Lightning AI,,rasbt,sebastianraschka
Sherri Rose,Stanford University,Professor,sherrirose,profsherrirose
Shijie Wu,Bloomberg,Research Engineer,EzraWu,ezra_wu
Sho Yaida,MetaAI,Research Scientist,ShoYaida,shoyaida
Shobeir Fakhraei,Amazon,Senior Machine Learning Scientist,shobeirf,shobeirf
Simon Batzner,DeepMind,Researcher,simonbatzner,simonomial
Sophia Yang Ph.D.,Anaconda,Senior Data Scientist,sophiamyang,sophiamyang
Soumith Chintala,Meta,Pytorch lead,soumithchintala,soumith
Soumith Chintala,MetaAI,Cofounded and lead PyTorch,soumithchintala,soumith
Stanford Institute for Human-Centered AI,Stanford,Institute for Human-Centered AI,StanfordHAI,stanfordhai
Stoyan Stoyanov,,Robotics Engineer and ML practitioner building AI-powered products,,sptstoyanov
Sujan Kumar Gonugondla,AWS,Sr ML Scientist,,sujankumar91
Suraj Srinivas,Harvard,ML Researcher,Suuraj,savinirs_jarus
Tali Herzka,Github,Copilot SWE,therzka,therzka
Tamsin Crossland,The AI Book,co-author,CrosslandTamsin,tamsin_crossland
Thomas Kipf,DeepMind,AI Research,tkipf,thomaskipf
Thomas Mock,Posit PBC,Product Manager for Posit Workbench/RStudio,thomas_mock,jthomasmock
Tim Tully,Menlo Ventures,Partner,timt,timtimtimt
Tudor Achim,Helm.ai,Cofounder / CTO,tachim,tudorachim
Vlad Loktev,,Investor,vladimirloktev,vladimirloktev
Wenfeng Zhuo,Meta,Staff ML Eng,,wenfeng_zhuo
Xavier Amatriain,LinkedIn,VP of AI Product,XAmatriain,xamatriain
Yana Welinder,Kraftful,CEO / Cofounder,yanatweets,yanawelinder
Yann LeCun,Meta/NYU,Chief AI Scientist/Professor,ylecun,yannlecun
Yaron Lipman,"WeizmannScience, MetaAI (FAIR)","Faculty, research scientist",lipmanya,lipmanya
Yoav Artzi,Cornell,"NLP, ML researcher/professor",yoavartzi,yoavartzi
Yoshitomo Matsubara,Amazon,Alexa AI Applied Scientist,yoshitomo_cs,yoshitomo_cs
Yossi Adi,"The Hebrew University of Jerusalem, Meta AI (FAIR)","Assistant Professor, Research Scientist",adiyossLC,yossiadidrum
Zining Zhu,Stevens Institute of Technology,Incoming Assistant Professor,zhuzining,bakerzzhu
Ziyi Yang,Microsoft,Researcher,yzy_ai,yzy_ai
Zubair Irshad,Georgia Tech,Robo/ML PhD Student,mzubairirshad,imzubairai
